Tiempo,Escalas(m)Babor,Datos1(m)Babor,Escalas(m)Estribor,Datos1(Fa)Estribor,Escalas(m)Abertura Vertical,Datos1(m)Abertura Vertical,Escalas(m)Profundidad 1,Datos1(Fa)Profundidad 1
2019-11-14 02:32:00,917.2599999999999,57.8,881.7,88.775,,,864.6999999999999,89.25
2019-11-14 02:36:00,1106.5900000000001,69.99000000000001,1109.4444444444443,157.84444444444446,1396.94,7.9,1100.86,156.48
2019-11-14 02:40:00,1106.2818181818184,75.75909090909092,1108.9454545454546,206.83636363636361,1396.5,6.23,1100.7499999999998,205.67999999999998
2019-11-14 02:44:00,1106.17,75.745,1108.2199999999998,239.85999999999999,1398.6454545454544,5.627272727272728,1100.59,238.32500000000005
2019-11-14 02:48:00,1105.85,83.14000000000001,1107.45,250.32,1403.1000000000001,5.15,1100.3454545454545,253.8090909090909
2019-11-14 02:52:00,1107.04,84.6,1107.41,258.98,1401.9900000000002,4.09,1101.56,263.59000000000003
2019-11-14 02:56:00,1107.11,84.65,1107.1545454545453,266.8818181818182,1400.75,4.529999999999999,1101.2800000000002,270.82
2019-11-14 03:00:00,1107.3000000000002,81.47272727272728,1106.8300000000002,276.36,1399.02,4.470000000000001,1101.1,277.57
2019-11-14 03:04:00,1106.23,81.35,1106.38,288.46999999999997,1394.45,4.4399999999999995,1100.75,286.59000000000003
2019-11-14 03:08:00,1106.12,79.19,1106.2499999999998,297.09999999999997,1394.3727272727274,5.081818181818182,1100.51,295.85
2019-11-14 03:12:00,1117.0333333333333,78.36666666666667,1116.5555555555557,301.94444444444446,1407.1222222222223,5.177777777777778,1111.38,302.92
2019-11-14 03:16:00,1161.08,81.145,1161.0700000000002,305.41999999999996,1452.7199999999998,4.839999999999999,1155.3222222222223,306.77222222222224
2019-11-14 03:20:00,1161.1399999999999,81.70000000000002,1162.3300000000002,306.53000000000003,1454.73,4.94,1156.6,308.78000000000003
2019-11-14 03:24:00,1161.94,82.02000000000001,1162.2599999999998,307.41,1454.49,4.7,1156.2,309.3
2019-11-14 03:28:00,1161.23,81.54,1162.3400000000001,308.22,1455.0600000000002,4.7,1155.5700000000002,309.44
2019-11-14 03:32:00,946.2750000000001,84.97500000000001,1119.55,309.6875,1230.15,9.358333333333333,983.2250000000001,309.875
2019-11-14 03:36:00,799.3249999999999,84.45,744.6333333333333,310.1666666666667,749.1,24.0,808.4499999999999,312.28333333333336
2019-11-14 03:40:00,1101.1399999999999,87.78999999999999,1015.5,266.85499999999996,1086.3500000000001,18.516666666666666,1091.51,286.55
2019-11-14 03:44:00,1155.3,82.71111111111111,1085.24,255.42000000000002,1399.75,8.2,1149.3555555555554,281.8277777777778
2019-11-14 03:48:00,1159.7909090909093,58.790909090909096,1135.77,295.70000000000005,1437.4699999999998,7.179999999999998,1154.1399999999999,308.82499999999993
2019-11-14 03:52:00,1161.3000000000002,67.73333333333332,1152.8700000000001,311.76000000000005,1450.4363636363635,6.354545454545455,1155.97,316.14
2019-11-14 03:56:00,1161.4,79.59,1161.25,306.26,1458.5899999999997,4.450000000000001,1155.7599999999998,309.76000000000005
2019-11-14 04:00:00,1161.1,83.36000000000001,1161.4299999999998,301.06,1459.0800000000002,4.1899999999999995,1155.527272727273,304.71818181818185
2019-11-14 04:04:00,1161.51,84.21000000000001,1162.1454545454546,291.24545454545455,1464.18,4.4,1155.6999999999998,293.53000000000003
2019-11-14 04:08:00,1162.48,86.18,1162.35,278.0,1468.56,4.640000000000001,1156.19,279.70000000000005
2019-11-14 04:12:00,1163.6125000000002,83.75,1162.41,268.96,1468.0700000000002,4.35,1156.822222222222,270.74444444444447
2019-11-14 04:16:00,1163.1727272727273,81.87272727272727,1163.3600000000001,260.67,1470.5300000000002,4.289999999999999,1157.66,262.84999999999997
2019-11-14 04:20:00,1164.31,84.36,1163.86,250.39000000000001,1473.3799999999999,4.220000000000001,1158.53,253.4
2019-11-14 04:24:00,771.3000000000001,85.74285714285713,738.75,247.7,1106.0,10.866666666666667,794.3666666666667,251.30000000000004
2019-11-14 04:28:00,925.5600000000001,85.20571428571428,821.65,232.48333333333335,764.5625,19.025,882.65,244.91666666666666
