Tiempo,Escalas(m),Datos1(Fa)
2019-11-28 05:15:44,666.6,
2019-11-28 05:16:08,667.7,31.1
2019-11-28 05:16:35,667.4,32.4
2019-11-28 05:18:20,666.7,32.3
2019-11-28 05:18:44,666.9,32.4
2019-11-28 05:19:12,667.1,30.6
2019-11-28 05:19:39,667.7,29.65
2019-11-28 05:20:03,667.2,28.7
2019-11-28 05:20:28,667.4,29.3
2019-11-28 05:20:53,670.7,29.6
2019-11-28 05:21:18,667.3,28.8
2019-11-28 05:21:44,666.7,29.0
2019-11-28 05:22:08,665.9,29.2
2019-11-28 05:22:31,666.7,29.4
2019-11-28 05:22:56,667.2,29.0
2019-11-28 05:23:21,667.5,29.1
2019-11-28 05:24:12,667.4,30.0
2019-11-28 05:24:38,667.1,29.55
2019-11-28 05:25:02,667.2,29.1
2019-11-28 05:25:28,667.4,28.8
2019-11-28 05:25:53,667.4,28.7
2019-11-28 05:26:19,667.2,28.466666666666665
2019-11-28 05:26:45,666.8,28.233333333333334
2019-11-28 05:27:08,667.6,28.0
2019-11-28 05:27:59,667.9,27.65
2019-11-28 05:28:27,666.9,27.3
2019-11-28 05:28:51,667.6,28.05
2019-11-28 05:29:14,667.1,28.8
2019-11-28 05:30:08,667.3,28.3
2019-11-28 05:30:59,667.2,27.8
2019-11-28 05:31:25,667.1,27.5
2019-11-28 05:31:51,667.5,27.7
2019-11-28 05:32:16,667.9,27.900000000000002
2019-11-28 05:32:40,667.6,28.1
2019-11-28 05:33:06,666.7,28.0
2019-11-28 05:33:32,667.9,28.45
2019-11-28 05:33:55,667.2,28.9
2019-11-28 05:34:20,667.1,29.5
2019-11-28 05:34:45,667.3,28.1
2019-11-28 05:35:10,666.7,28.1
2019-11-28 05:35:31,667.3,28.1
2019-11-28 05:35:57,666.8,27.85
2019-11-28 05:36:20,666.9,27.6
2019-11-28 05:36:46,666.8,27.05
2019-11-28 05:37:09,666.5,26.5
2019-11-28 05:37:34,666.4,28.4
2019-11-28 05:37:59,666.4,27.8
2019-11-28 05:38:24,666.4,27.3
2019-11-28 05:38:47,666.5,26.8
2019-11-28 05:39:13,666.5,27.6
2019-11-28 05:39:39,666.5,27.5
2019-11-28 05:40:04,666.6,27.7
2019-11-28 05:40:32,666.4,28.3
2019-11-28 05:40:59,666.4,29.1
2019-11-28 05:41:23,668.6,27.0
2019-11-28 05:41:49,670.2,27.5
2019-11-28 05:42:15,670.6,26.9
2019-11-28 05:43:05,666.3,26.3
2019-11-28 05:43:30,666.7,27.9
2019-11-28 05:43:54,667.3,27.0
2019-11-28 05:44:19,666.8,27.3
2019-11-28 05:44:44,666.4,27.1
2019-11-28 05:45:10,666.2,27.5
2019-11-28 05:45:35,666.4,27.900000000000002
2019-11-28 05:45:59,666.3,28.3
2019-11-28 05:46:24,666.2,26.9
2019-11-28 05:46:48,666.5,26.9
2019-11-28 05:47:14,667.1,26.1
2019-11-28 05:47:40,666.1,26.950000000000003
2019-11-28 05:48:30,666.6,27.8
2019-11-28 05:48:56,666.7,27.6
2019-11-28 05:49:48,666.9,27.4
2019-11-28 05:50:14,666.0,26.9
2019-11-28 05:50:39,667.4,26.7
2019-11-28 05:51:31,666.9,25.5
2019-11-28 05:51:56,667.1,26.2
2019-11-28 05:52:20,672.4,26.3
2019-11-28 05:52:46,684.9,27.3
2019-11-28 05:53:09,694.1,28.3
2019-11-28 05:53:36,695.9,26.3
2019-11-28 05:54:26,698.6,24.3
2019-11-28 05:54:50,695.7,26.2
2019-11-28 05:55:16,696.5,27.0
2019-11-28 05:55:41,695.9,27.7
2019-11-28 05:56:08,696.7,26.6
2019-11-28 05:56:33,698.5,25.4
2019-11-28 05:56:58,696.8,25.1
2019-11-28 05:57:22,695.2,27.1
2019-11-28 05:57:50,695.7,26.9
2019-11-28 05:58:43,695.8,26.5
2019-11-28 05:59:35,696.1,27.1
2019-11-28 06:00:00,697.1,26.1
2019-11-28 06:00:26,695.8,26.1
2019-11-28 06:01:21,695.7,26.2
2019-11-28 06:01:45,697.4,25.1
2019-11-28 06:02:11,695.8,26.950000000000003
2019-11-28 06:02:34,696.8,28.8
2019-11-28 06:03:00,696.0,27.5
2019-11-28 06:03:25,695.9,27.033333333333335
2019-11-28 06:03:51,696.0,26.566666666666666
2019-11-28 06:04:43,697.7,26.1
2019-11-28 06:05:10,695.7,26.5
2019-11-28 06:05:35,695.4,26.5
2019-11-28 06:06:01,696.0,26.15
2019-11-28 06:06:26,695.0,25.8
2019-11-28 06:06:52,695.8,26.15
2019-11-28 06:07:41,694.4,26.5
2019-11-28 06:08:31,695.4,27.3
2019-11-28 06:08:56,695.7,26.9
2019-11-28 06:09:21,696.0,27.1
2019-11-28 06:09:45,695.4,27.4
2019-11-28 06:10:35,644.2,27.1
2019-11-28 06:12:28,480.3,27.0
2019-11-28 06:12:56,444.6,27.0
2019-11-28 06:13:21,415.4,26.9
2019-11-28 06:13:46,387.8,26.9
