Code,Tiempo,Escalas(m),Datos1(m),Datos2(m),Latitude,Longitude,Sonda(m),Comment
Abertura,03:16:44,---,---,---,---,---,---,
Abertura,03:17:13,---,---,---,---,---,---,
Abertura,03:17:42,---,---,---,---,---,---,
Abertura,03:18:10,1739,2,112,6,---,---,
Abertura,03:18:37,1740,9,105,5,---,---,
Abertura,03:19:04,1742,1,98,2,---,---,
Abertura,03:19:30,1740,7,94,3,---,---,
Abertura,03:19:59,---,---,---,---,---,---,
Abertura,03:20:25,1740,9,85,2,---,---,
Abertura,03:20:50,1740,5,83,2,---,---,
Abertura,03:21:17,1740,3,---,---,---,---,
Abertura,03:21:43,1739,8,79,5,---,---,
Abertura,03:22:09,1739,7,---,---,---,---,
Abertura,03:22:35,1739,8,77,0,---,---,
Abertura,03:23:02,---,---,---,---,---,---,
Abertura,03:23:29,1739,4,---,---,---,---,
Abertura,03:23:54,1739,2,70,7,---,---,
Abertura,03:24:19,1739,3,69,7,---,---,
Abertura,03:24:44,1739,8,67,3,---,---,
Abertura,03:25:09,1740,2,68,2,---,---,
Abertura,03:25:37,1739,4,---,---,---,---,
Abertura,03:26:02,1740,2,69,5,---,---,
Abertura,03:26:27,1740,1,71,6,---,---,
Abertura,03:26:54,1738,3,75,7,---,---,
Abertura,03:27:22,---,---,---,---,---,---,
Abertura,03:27:48,1735,3,94,7,---,---,
Abertura,03:28:17,---,---,---,---,---,---,
Abertura,03:28:43,---,---,---,---,---,---,
Abertura,03:29:13,---,---,---,---,---,---,
Abertura,03:29:42,---,---,---,---,---,---,
Abertura,03:30:08,1734,6,112,2,---,---,
Abertura,03:30:37,---,---,---,---,---,---,
Abertura,03:31:05,---,---,---,---,---,---,
Abertura,03:31:32,1736,3,116,9,---,---,
Abertura,03:31:59,---,---,---,---,---,---,
Abertura,03:32:29,---,---,---,---,---,---,
Abertura,03:32:57,---,---,---,---,---,---,
Abertura,03:33:25,---,---,---,---,---,---,
Abertura,03:33:54,---,---,---,---,---,---,
Abertura,03:34:19,1961,1,---,---,---,---,
Abertura,03:34:49,---,---,---,---,---,---,
Abertura,03:35:19,---,---,---,---,---,---,
Abertura,03:35:47,---,---,---,---,---,---,
Abertura,03:36:12,1741,9,---,---,---,---,
Abertura,03:36:41,---,---,---,---,---,---,
Abertura,03:37:08,---,---,---,---,---,---,
Abertura,03:37:32,1743,0,124,5,---,---,
Abertura,03:38:01,---,---,---,---,---,---,
Abertura,03:38:25,1742,8,122,8,---,---,
Abertura,03:38:51,1743,5,119,1,---,---,
Abertura,03:39:17,1743,4,119,2,---,---,
Abertura,03:39:42,1743,6,118,5,---,---,
Abertura,03:40:07,1743,8,116,2,---,---,
Abertura,03:40:33,1744,2,116,7,---,---,
Abertura,03:40:58,1744,0,115,3,---,---,
Abertura,03:41:23,1744,1,118,0,---,---,
Abertura,03:41:49,1744,3,117,1,---,---,
Abertura,03:42:14,1744,5,116,4,---,---,
Abertura,03:42:41,1744,2,113,5,---,---,
Abertura,03:43:08,---,---,---,---,---,---,
Abertura,03:43:33,1743,9,114,8,---,---,
Abertura,03:43:58,1744,3,114,2,---,---,
Abertura,03:44:23,1744,6,113,4,---,---,
Abertura,03:44:48,1744,3,112,9,---,---,
Abertura,03:45:13,1744,3,112,2,---,---,
Abertura,03:45:38,1744,5,111,6,---,---,
Abertura,03:46:05,---,---,---,---,---,---,
Abertura,03:46:30,1744,2,109,2,---,---,
Abertura,03:46:55,1744,3,110,4,---,---,
Abertura,03:47:20,1744,5,110,8,---,---,
Abertura,03:47:45,1744,2,109,9,---,---,
Abertura,03:48:10,1744,5,110,5,---,---,
Abertura,03:48:35,1744,6,108,7,---,---,
Abertura,03:49:01,1744,6,108,6,---,---,
Abertura,03:49:26,1746,0,106,3,---,---,
Abertura,03:49:51,1744,5,106,2,---,---,
Abertura,03:50:16,1744,3,109,5,---,---,
Abertura,03:50:41,1744,3,108,6,---,---,
Abertura,03:51:06,1744,6,108,0,---,---,
Abertura,03:51:31,1744,6,108,8,---,---,
Abertura,03:51:56,1744,7,108,5,---,---,
Abertura,03:52:21,1744,4,110,5,---,---,
Abertura,03:52:49,---,---,---,---,---,---,
Abertura,03:53:14,1744,9,108,7,---,---,
Abertura,03:53:42,---,---,---,---,---,---,
Abertura,03:54:08,---,---,---,---,---,---,
Abertura,03:54:33,1750,9,103,9,---,---,
Abertura,03:54:56,1744,7,111,2,---,---,
Abertura,03:55:22,1745,1,110,9,---,---,
Abertura,03:55:47,1744,7,109,2,---,---,
Abertura,03:56:12,1746,0,108,7,---,---,
Abertura,03:56:37,1745,0,108,6,---,---,
Abertura,03:57:02,1745,0,106,8,---,---,
Abertura,03:57:27,1744,6,108,0,---,---,
Abertura,03:57:52,1745,0,107,6,---,---,
Abertura,03:58:17,1744,6,108,5,---,---,
Abertura,03:58:43,1744,9,108,2,---,---,
Abertura,03:59:08,1745,1,107,2,---,---,
Abertura,03:59:33,1745,5,108,5,---,---,
Abertura,03:59:58,1744,6,109,3,---,---,
Abertura,04:00:23,1744,7,108,0,---,---,
Abertura,04:00:48,1744,5,109,2,---,---,
Abertura,04:01:15,---,---,---,---,---,---,
Abertura,04:01:41,1745,3,108,7,---,---,
Abertura,04:02:07,1745,2,108,0,---,---,
Abertura,04:02:32,1744,7,108,2,---,---,
Abertura,04:02:57,1745,1,109,5,---,---,
Abertura,04:03:22,1744,6,109,7,---,---,
Abertura,04:03:47,1745,3,107,6,---,---,
Abertura,04:04:12,1744,5,109,0,---,---,
Abertura,04:04:37,1744,7,109,4,---,---,
Abertura,04:05:02,1744,6,109,5,---,---,
Abertura,04:05:27,1745,1,109,5,---,---,
Abertura,04:05:53,1744,7,108,4,---,---,
Abertura,04:06:18,1744,6,109,5,---,---,
Abertura,04:06:43,1745,0,108,1,---,---,
Abertura,04:07:08,1744,9,107,8,---,---,
Abertura,04:07:33,1744,8,108,4,---,---,
Abertura,04:07:58,1744,7,108,5,---,---,
Abertura,04:08:25,1745,0,108,0,---,---,
Abertura,04:08:52,---,---,---,---,---,---,
Abertura,04:09:20,---,---,---,---,---,---,
Abertura,04:09:44,1744,9,110,6,---,---,
Abertura,04:10:13,---,---,---,---,---,---,
Abertura,04:10:38,1744,7,108,7,---,---,
Abertura,04:11:05,---,---,---,---,---,---,
Abertura,04:11:29,1745,0,108,9,---,---,
Abertura,04:11:54,1744,8,108,6,---,---,
Abertura,04:12:19,1744,7,111,1,---,---,
Abertura,04:12:44,1745,5,111,3,---,---,
Abertura,04:13:09,1745,1,111,1,---,---,
Abertura,04:13:37,---,---,---,---,---,---,
Abertura,04:14:04,---,---,---,---,---,---,
Abertura,04:14:28,1745,0,111,5,---,---,
Abertura,04:14:54,1745,0,111,9,---,---,
Abertura,04:15:19,1744,6,111,7,---,---,
Abertura,04:15:44,1744,9,110,8,---,---,
Abertura,04:16:10,1744,7,109,4,---,---,
Abertura,04:16:37,1745,3,109,1,---,---,
Abertura,04:17:04,---,---,---,---,---,---,
Abertura,04:17:30,1744,4,109,8,---,---,
Abertura,04:17:55,1744,8,109,9,---,---,
Abertura,04:18:20,1744,4,109,4,---,---,
Abertura,04:18:45,1744,9,108,6,---,---,
Abertura,04:19:10,1744,3,107,5,---,---,
Abertura,04:19:35,1744,5,106,7,---,---,
Abertura,04:20:02,1744,6,107,5,---,---,
Abertura,04:20:31,---,---,---,---,---,---,
Abertura,04:20:56,1743,9,108,4,---,---,
Abertura,04:21:25,---,---,---,---,---,---,
Abertura,04:21:51,1744,3,108,6,---,---,
Abertura,04:22:16,1744,3,109,0,---,---,
Abertura,04:22:41,1744,1,108,3,---,---,
Abertura,04:23:10,---,---,---,---,---,---,
